Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003,SE_A13003B_001,SE_A13003B_002,SE_A13003B_003,SE_A13003C_001,SE_A13003C_002,SE_A13003C_003,ACS18_5yr_B15003001,ACS18_5yr_B15003002,ACS18_5yr_B15003003,ACS18_5yr_B15003004,ACS18_5yr_B15003005,ACS18_5yr_B15003006,ACS18_5yr_B15003007,ACS18_5yr_B15003008,ACS18_5yr_B15003009,ACS18_5yr_B15003010,ACS18_5yr_B15003011,ACS18_5yr_B15003012,ACS18_5yr_B15003013,ACS18_5yr_B15003014,ACS18_5yr_B15003015,ACS18_5yr_B15003016,ACS18_5yr_B15003017,ACS18_5yr_B15003018,ACS18_5yr_B15003019,ACS18_5yr_B15003020,ACS18_5yr_B15003021,ACS18_5yr_B15003022,ACS18_5yr_B15003023,ACS18_5yr_B15003024,ACS18_5yr_B15003025,ACS18_5yr_B15003001s,ACS18_5yr_B15003002s,ACS18_5yr_B15003003s,ACS18_5yr_B15003004s,ACS18_5yr_B15003005s,ACS18_5yr_B15003006s,ACS18_5yr_B15003007s,ACS18_5yr_B15003008s,ACS18_5yr_B15003009s,ACS18_5yr_B15003010s,ACS18_5yr_B15003011s,ACS18_5yr_B15003012s,ACS18_5yr_B15003013s,ACS18_5yr_B15003014s,ACS18_5yr_B15003015s,ACS18_5yr_B15003016s,ACS18_5yr_B15003017s,ACS18_5yr_B15003018s,ACS18_5yr_B15003019s,ACS18_5yr_B15003020s,ACS18_5yr_B15003021s,ACS18_5yr_B15003022s,ACS18_5yr_B15003023s,ACS18_5yr_B15003024s,ACS18_5yr_B15003025s,ACS18_5yr_B28003001,ACS18_5yr_B28003002,ACS18_5yr_B28003003,ACS18_5yr_B28003004,ACS18_5yr_B28003005,ACS18_5yr_B28003006,ACS18_5yr_B28003001s,ACS18_5yr_B28003002s,ACS18_5yr_B28003003s,ACS18_5yr_B28003004s,ACS18_5yr_B28003005s,ACS18_5yr_B28003006s
"17163500400","14000US17163500400","Census Tract 5004","Census Tract 5004, St. Clair County, Illinois","il","140","00","ACSSF","0008345",,,,,"17","163",,,,"500400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512,1512,1485,83,1402,0,0,0,0,0,27,0,0,0,0,0,27,0,552,441,111,28,28,0,1224,548,676,260,15,245,1383,24,0,0,0,0,0,11,0,0,0,29,33,80,17,39,580,128,117,158,82,48,37,0,0,127.2727,15.75758,6.666667,6.666667,6.666667,6.666667,6.666667,10.30303,6.666667,6.666667,6.666667,20,24.24242,47.87879,14.54545,21.81818,87.87878,52.72727,41.81818,49.69697,31.51515,20,23.0303,6.666667,6.666667,1111,519,0,370,149,592,98.78788,74.54546,6.666667,64.24242,53.93939,95.75758
"17163500500","14000US17163500500","Census Tract 5005","Census Tract 5005, St. Clair County, Illinois","il","140","00","ACSSF","0008346",,,,,"17","163",,,,"500500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2747,2747,2744,17,2677,0,5,0,0,45,3,3,0,0,0,0,0,0,1005,843,162,1083,704,379,1403,487,916,261,33,228,1394,20,0,0,0,0,0,0,0,0,11,4,19,17,123,69,402,164,82,295,140,48,0,0,0,118.7879,18.18182,6.666667,6.666667,6.666667,6.666667,6.666667,6.666667,6.666667,6.666667,10.90909,4.242424,18.78788,15.75758,47.27273,30.30303,113.9394,51.51515,27.27273,49.69697,38.18182,25.45455,6.666667,6.666667,6.666667,893,582,8,332,242,311,69.69697,73.33334,9.090909,53.33333,56.36364,55.75758
"17163500900","14000US17163500900","Census Tract 5009","Census Tract 5009, St. Clair County, Illinois","il","140","00","ACSSF","0008347",,,,,"17","163",,,,"500900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4153,4153,4038,95,3931,0,0,0,0,12,115,0,0,0,0,0,22,93,1398,1164,234,1134,819,315,2470,1131,1339,528,109,419,2644,40,0,0,0,0,0,35,11,0,0,12,24,49,202,70,1008,157,129,403,286,134,84,0,0,199.3939,21.81818,6.666667,6.666667,6.666667,6.666667,6.666667,32.72727,9.69697,6.666667,6.666667,11.51515,16.9697,35.75758,69.09091,32.72727,144.2424,47.87879,55.75758,95.75758,112.1212,47.87879,46.06061,6.666667,6.666667,1750,953,0,517,436,797,89.09091,108.4848,6.666667,92.12122,79.39394,104.2424
"17163501100","14000US17163501100","Census Tract 5011","Census Tract 5011, St. Clair County, Illinois","il","140","00","ACSSF","0008348",,,,,"17","163",,,,"501100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1517,1517,1517,11,1496,0,0,0,0,10,0,0,0,0,0,0,0,0,715,631,84,150,53,97,1044,251,793,323,57,266,1203,4,0,0,0,0,0,0,0,0,0,8,0,50,74,14,501,54,28,266,80,97,22,0,5,169.697,5.454545,6.666667,6.666667,6.666667,6.666667,6.666667,6.666667,6.666667,6.666667,6.666667,7.272727,6.666667,31.51515,27.27273,9.090909,123.0303,20.60606,12.12121,57.57576,27.27273,33.93939,12.12121,6.666667,6.060606,638,332,0,190,142,306,47.87879,60,6.666667,40,43.63636,60
"17163501200","14000US17163501200","Census Tract 5012","Census Tract 5012, St. Clair County, Illinois","il","140","00","ACSSF","0008349",,,,,"17","163",,,,"501200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2619,2619,2587,38,2535,0,0,0,14,0,32,0,32,0,0,0,0,0,928,768,160,570,207,363,1461,422,1039,588,189,399,1819,43,0,0,0,0,0,27,11,0,0,62,114,40,69,81,454,135,157,327,152,48,90,0,9,156.9697,27.87879,6.666667,6.666667,6.666667,6.666667,6.666667,24.24242,10.90909,6.666667,6.666667,36.36364,52.72727,31.51515,38.18182,55.15152,85.45454,52.72727,52.72727,124.8485,53.33333,23.63636,29.09091,6.666667,8.484848,1060,663,11,491,161,397,76.9697,78.78788,10.30303,81.81818,55.75758,79.39394
"17163501300","14000US17163501300","Census Tract 5013","Census Tract 5013, St. Clair County, Illinois","il","140","00","ACSSF","0008350",,,,,"17","163",,,,"501300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3471,3471,3429,43,3362,20,0,0,0,4,42,42,0,0,0,0,0,0,1423,1202,221,569,162,407,2026,718,1308,830,125,705,2613,0,0,0,3,0,14,0,0,0,31,19,22,158,147,14,931,84,78,377,261,194,269,0,11,266.0606,6.666667,6.666667,6.666667,4.242424,6.666667,11.51515,6.666667,6.666667,6.666667,29.69697,18.78788,15.15152,107.2727,47.87879,13.33333,256.9697,36.36364,31.51515,72.12122,73.33334,64.24242,66.06061,6.666667,10.30303,1281,879,22,537,320,402,95.75758,109.0909,14.54545,84.24242,90.90909,66.66666
"17163501400","14000US17163501400","Census Tract 5014","Census Tract 5014, St. Clair County, Illinois","il","140","00","ACSSF","0008351",,,,,"17","163",,,,"501400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3360,3360,3360,34,3247,0,39,0,21,19,0,0,0,0,0,0,0,0,1512,1037,475,743,234,509,2124,500,1624,493,51,442,2296,37,0,0,0,0,0,0,0,0,17,28,12,68,181,11,496,86,203,458,263,194,198,44,0,163.6364,23.63636,6.666667,6.666667,6.666667,6.666667,6.666667,6.666667,6.666667,6.666667,15.75758,18.78788,11.51515,40,69.09091,9.69697,107.2727,55.75758,71.51515,116.9697,97.57576,63.0303,89.69697,40.60606,6.666667,1170,808,28,535,245,362,81.21212,89.69697,18.78788,69.69697,70.90909,81.21212
"17163501501","14000US17163501501","Census Tract 5015.01","Census Tract 5015.01, St. Clair County, Illinois","il","140","00","ACSSF","0008352",,,,,"17","163",,,,"501501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2032,2032,1962,749,1168,3,30,0,0,12,70,21,15,0,0,0,8,26,1077,974,103,331,8,323,1363,218,1145,313,13,300,1475,9,0,0,0,0,0,0,7,7,0,0,10,16,47,17,357,29,156,232,91,257,186,44,10,101.2121,6.666667,6.666667,6.666667,6.666667,6.666667,6.666667,6.666667,5.454545,6.666667,6.666667,6.666667,7.272727,9.69697,27.87879,13.33333,56.9697,10.90909,44.24242,58.78788,30.90909,49.69697,82.42424,24.24242,7.272727,806,703,5,600,98,103,30.30303,36.9697,4.848485,50.30303,42.42424,30.90909
"17163501502","14000US17163501502","Census Tract 5015.02","Census Tract 5015.02, St. Clair County, Illinois","il","140","00","ACSSF","0008353",,,,,"17","163",,,,"501502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2788,2788,2691,1751,871,0,0,0,28,41,97,60,0,0,0,0,37,0,1361,1244,117,562,175,387,1854,321,1533,288,18,270,1936,74,0,0,0,0,3,0,7,0,12,34,11,22,29,30,524,69,193,288,192,315,116,9,8,129.697,33.33333,6.666667,6.666667,6.666667,6.666667,4.242424,6.666667,7.272727,6.666667,10.90909,17.57576,8.484848,13.93939,24.24242,19.39394,82.42424,30.90909,49.69697,65.45454,50.30303,53.33333,41.21212,8.484848,10.90909,1071,815,7,700,108,256,65.45454,67.27273,6.666667,62.42424,41.81818,53.93939
"17163501602","14000US17163501602","Census Tract 5016.02","Census Tract 5016.02, St. Clair County, Illinois","il","140","00","ACSSF","0008354",,,,,"17","163",,,,"501602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4735,4735,4735,3428,1101,0,18,0,0,188,0,0,0,0,0,0,0,0,2857,2781,76,835,19,816,2954,311,2643,729,54,675,3501,0,0,0,0,0,0,0,0,0,0,26,66,12,57,44,878,144,416,773,387,517,160,21,0,195.7576,6.666667,6.666667,6.666667,6.666667,6.666667,6.666667,6.666667,6.666667,6.666667,6.666667,13.93939,56.9697,11.51515,42.42424,24.84848,145.4545,51.51515,87.87878,156.3636,81.81818,90.90909,66.66666,20.60606,6.666667,2252,1857,56,1637,164,395,113.3333,129.0909,30.90909,140,69.09091,86.06061
